Item;Difficulty;Type;Slot;Stamina;MainAtrribute;Crit;Mastery;Haste;Versatility;Tier;Class;Boss
Sphere of Entropy;Heroic;Frost;Relic;0;0;0;0;0;0;False;Any;Kil'jaeden
Cloak of Stifling Brimstone;Heroic;Neutral;Back;2106;1404;0;344;639;0;False;Any;Goroth
Emberscatter Treads;Heroic;Cloth;Feet;2808;1872;571;740;0;0;False;Any;Goroth
Slippers of Enduring Vigilance;Heroic;Cloth;Feet;2808;1872;0;431;880;0;False;Any;Zone
Gloves of Furtive Oppression;Heroic;Cloth;Hands;3082;2055;797;564;0;0;False;Any;Kil'jaeden
Hundred-Fathom Veil;Heroic;Cloth;Head;3744;2496;0;1174;0;574;False;Any;Mistress Sassz'ine
Blackned Mask of Disgrace;Heroic;Cloth;Head;3744;2496;686;0;1061;0;False;Any;Zone
Legwraps of Fused Loathing;Heroic;Cloth;Legs;3744;2496;0;612;1136;0;False;Any;Goroth
Leggins of Divine Portents;Heroic;Cloth;Legs;3744;2496;724;0;0;1024;False;Any;Maiden of Vigilance
Diabolic Robe;Heroic;Cloth;Chest;3744;2496;0;0;1174;574;True;Warlock;Kil'jaeden
Robe of Aqueous Command;Heroic;Cloth;Chest;3744;2496;1136;612;0;0;False;Any;Zone
Mantle of Broken Spirits;Heroic;Cloth;Shoulder;2808;1872;0;852;0;459;False;Any;Atrigan
Shoulderpads of Whispering Twilight;Heroic;Cloth;Shoulder;2808;1872;824;0;486;0;False;Any;Huntress Kasparian
Braided Torture Lash;Heroic;Cloth;Waist;2808;1872;880;0;431;0;False;Any;Zone
Strife-Riddled Cinch;Heroic;Cloth;Waist;2808;1872;0;824;486;0;False;Any;Maiden of Vigilance
String of Extracted Incisors;Heroic;Neutral;Neck;2106;0;0;0;1923;1285;False;Any;Zone
Locket of Splintered Souls;Heroic;Neutral;Neck;2106;0;1469;1745;0;0;False;Any;Zone
Charred Hymnal of The Moon;Heroic;Arcane;Relic;0;0;0;0;0;0;False;Any;Goroth
Inexorable Truth Serum;Heroic;Arcane;Relic;0;0;0;0;0;0;False;Any;Zone
Mote of Astral Suffusion;Heroic;Arcane;Relic;0;0;0;0;0;0;False;Any;Zone
Torn Fabric of Reality;Heroic;Arcane;Relic;0;0;0;0;0;0;False;Any;Kil'jaeden
Blood Relic;Heroic;Blood;Relic;0;0;0;0;0;0;False;Any;Zone
Pungent Chum;Heroic;Blood;Relic;0;0;0;0;0;0;False;Any;Mistress Sassz'ine
Man'ari Blood Pact;Heroic;Blood;Relic;0;0;0;0;0;0;False;Any;Kil'jaeden
Tears of The Maiden;Heroic;Blood;Relic;0;0;0;0;0;0;False;Any;Maiden of Vigilance
Shrould of the Drowned Adherent;Heroic;Neutral;Back;2106;1404;0;576;0;407;False;Any;Mistress Sassz'ine
Gravewarden Cloak;Heroic;Neutral;Back;2106;1404;0;449;0;534;True;Death Knight;Engine of Souls
Demonbane Shroud;Heroic;Neutral;Back;2106;1404;0;0;639;344;True;Demon Hunter;Engine of Souls
Stormheart Drape;Heroic;Neutral;Back;2106;1404;386;0;597;0;True;Druid;Engine of Souls
Wildstalker Cape;Heroic;Neutral;Back;2106;1404;407;0;576;0;True;Hunter;Engine of Souls
Drape of Arcane Tempest;Heroic;Neutral;Back;2106;1404;0;365;0;618;True;Mage;Engine of Souls
Xuen's Cloak;Heroic;Neutral;Back;2106;1404;0;386;0;597;True;Monk;Engine of Souls
Radian Lightbringer Cape;Heroic;Neutral;Back;2106;1404;0;0;597;386;True;Paladin;Engine of Souls
Shawl of Blind Absolution;Heroic;Neutral;Back;2106;1404;618;365;0;0;True;Priest;Engine of Souls
Fanged Slayer's Shroud;Heroic;Neutral;Back;2106;1404;576;0;407;0;True;Rogue;Engine of Souls
Drape of The Skybreaker;Heroic;Neutral;Back;2106;1404;407;0;0;576;True;Shaman;Engine of Souls
Diabolic Shroud;Heroic;Neutral;Back;2106;1404;639;0;0;344;True;Warlock;Engine of Souls
Titanic Onslaught Cloak;Heroic;Neutral;Back;2106;1404;344;639;0;0;True;Warrior;Engine of Souls
Cape of Mindless Fury;Heroic;Neutral;Back;2106;1404;597;0;386;0;False;Any;Fallen Avatar
Scaled Band of Servitude;Heroic;Neutral;Finger;2106;0;0;1837;1378;0;False;Any;Harjatan
Yathae's Yhumb Ring;Heroic;Neutral;Finger;2106;0;1893;0;0;867;False;Any;Huntress Kasparian
Band of Rescinded Truths;Heroic;Neutral;Finger;2106;0;0;1194;0;2020;False;Any;Maiden of Vigilance
Seal of The Second Duumvirate;Heroic;Neutral;Finger;2106;0;1561;0;1854;0;False;Any;Kil'jaeden
Sea Star of The Depthmother;Heroic;Neutral;Trinket;0;0;0;0;0;1248;False;Healer;Mistress Sassz'ine
Archive of Faith;Heroic;Neutral;Trinket;0;0;1248;0;0;0;False;Healer;Fallen Avatar
The Deceiver's Grand Design;Heroic;Neutral;Trinket;0;0;0;1296;0;0;False;Healer;Kil'jaeden
Infernal Cinders;Heroic;Neutral;Trinket;0;0;1248;0;0;0;False;Melee;Goroth
Cradle of Anguish;Heroic;Neutral;Trinket;0;0;0;0;1248;0;False;DPS;Atrigan
Vial of Ceaseless Toxins;Heroic;Neutral;Trinket;0;2372;0;0;0;0;False;Melee;Mistress Sassz'ine
Umbrals Moonglaives;Heroic;Neutral;Trinket;0;0;0;0;0;1248;False;DPS;Huntress Kasparian
Engine of Eradication;Heroic;Neutral;Trinket;0;0;0;1248;0;0;False;Melee;Maiden of Vigilance
Terror From Below;Heroic;Neutral;Trinket;0;0;1248;0;0;0;False;Ranged;Mistress Sassz'ine
Tarnished Sentinel Medallion;Heroic;Neutral;Trinket;0;0;0;1248;0;0;False;Ranged;Huntress Kasparian
Spectral Thurible;Heroic;Neutral;Trinket;0;0;0;0;0;1248;False;Ranged;Engine of Souls
Feverish Carapace;Heroic;Neutral;Trinket;0;2372;0;0;0;0;False;Tank;Goroth
Leviathan's Hunger;Heroic;Neutral;Trinket;0;0;0;0;1248;0;False;Any;Mistress Sassz'ine
Reliquary of The Damned;Heroic;Neutral;Trinket;3559;0;0;0;0;0;False;Tank;Engine of Souls
Recompiled Guardian Module;Heroic;Neutral;Trinket;0;0;0;0;0;1248;False;Tank;Maiden of Vigilance
Shifting Cosmic Sliver;Heroic;Neutral;Trinket;0;0;0;1296;0;0;False;Tank;Kil'jaeden
Charm of The Rising Tide;Heroic;Neutral;Trinket;0;2372;0;0;0;0;False;Ranged;Harjatan
Charm of The Rising Tide;Heroic;Neutral;Trinket;0;2372;0;0;0;0;False;Healer;Harjatan
Barbaric Mindslaver;Heroic;Neutral;Trinket;0;2372;0;0;0;0;False;Healer;Atrigan
Chalice of Moonlight;Heroic;Neutral;Trinket;0;2372;0;0;0;0;False;Healer;Huntress Kasparian
Tome of Unraveling Sanity;Heroic;Neutral;Trinket;0;2604;0;0;0;0;False;DPS;Kil'jaeden
Hood of Blind Absolution;Heroic;Cloth;Head;3744;2496;0;0;1174;574;True;Priest;Atrigan
Diabolic Helm;Heroic;Cloth;Head;3744;2496;1024;724;0;0;True;Warlock;Atrigan
Mantle of Arcane Tempest;Heroic;Cloth;Shoulder;2808;1872;0;880;431;0;True;Mage;Fallen Avatar
Mandle of Blind Absolution;Heroic;Cloth;Shoulder;2808;1872;571;0;0;740;True;Priest;Fallen Avatar
Diabolic Mantle;Heroic;Cloth;Shoulder;2808;1872;515;0;769;0;True;Warlock;Fallen Avatar
Robes of Blind Absolution;Heroic;Cloth;Chest;3744;2496;0;1024;724;0;True;Priest;Kil'jaeden
Robes of The Arcane Tempest;Heroic;Cloth;Chest;3744;2496;686;0;1061;0;True;Mage;Kil'jaeden
Soul Queen's Ceremonial Robes;Heroic;Cloth;Chest;3744;2496;0;0;649;1099;False;Any;Zone
Leggins of The Arcane Tempest;Heroic;Cloth;Legs;3744;2496;724;1024;0;0;True;Mage;Mistress Sassz'ine
Leggins of Blind Absolution;Heroic;Cloth;Legs;3744;2496;1061;0;686;0;True;Priest;Mistress Sassz'ine
Diabolic Leggins;Heroic;Cloth;Legs;3744;2496;0;1099;649;0;True;Warlock;Mistress Sassz'ine
Ravenous Devotee's Bracelets;Heroic;Cloth;Wrist;2106;1404;0;407;576;0;False;Any;Harjatan
Oathbreaker's Cuffs;Heroic;Cloth;Wrist;2106;1404;639;0;0;344;False;Any;Fallen Avatar
Gloves of The Arcane Tempest;Heroic;Cloth;Hands;2808;1872;0;0;852;459;True;Mage;Harjatan
Gloves of Blind Absolution;Heroic;Cloth;Hands;2808;1872;0;852;0;459;True;Priest;Harjatan
Diabolic Gloves;Heroic;Cloth;Hands;2808;1872;0;571;0;740;True;Warlock;Harjatan
Lunar-Wrath Haedgear;Heroic;Leather;Head;3744;2496;0;612;1136;0;False;Any;Huntress Kasparian
Shadow-Scared Headcover;Heroic;Leather;Head;4109;2739;1218;0;596;0;False;Any;Kil'jaeden
Demonbane Faceguard;Heroic;Leather;Head;3744;2496;1136;0;0;612;True;Demon Hunter;Atrigan
Stormheart Headdress;Heroic;Leather;Head;3744;2496;0;0;1099;649;True;Druid;Atrigan
Xuen's Helm;Heroic;Leather;Head;3744;2496;612;1136;0;0;True;Monk;Atrigan
Dripping Arcfin Shoulderpads;Heroic;Leather;Shoulder;2808;1872;0;515;796;0;False;Any;Harjatan
Demonbane Shoulderpads;Heroic;Leather;Shoulder;2808;1872;515;796;0;0;True;Demon Hunter;Fallen Avatar
Stormheart Mantle;Heroic;Leather;Shoulder;2808;1872;571;0;0;740;True;Druid;Fallen Avatar
Xuen's Shoulderguards;Heroic;Leather;Shoulder;2808;1872;880;0;0;431;True;Monk;Fallen Avatar
Demonbane Harness;Heroic;Leather;Chest;3744;2496;0;1099;649;0;True;Demon Hunter;Kil'jaeden
Fanged Slayer's Chestguard;Heroic;Leather;Chest;3744;2496;1136;612;0;0;True;Rogue;Kil'jaeden
Hide of The Abyssal Behemoth;Heroic;Leather;Chest;3744;2496;686;0;0;1061;False;Any;Mistress Sassz'ine
Spirebreaker Harness;Heroic;Leather;Chest;3744;2496;0;612;1136;0;False;Any;Gorth
Stormheart Tunic;Heroic;Leather;Chest;3744;2496;1174;574;0;0;True;Druid;Kil'jaeden
Cinch of Sizzling Flesh;Heroic;Leather;Waist;2808;1872;796;515;0;0;False;Any;Goroth
